Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Fundamentals of Fluid Dynamics,ME 310,1555,34%,39%,20%,4%,2%,1%,2.98,ME,https://courses.illinois.edu/schedule/2018/fall/ME/310
Heat Transfer,ME 320,1576,40%,40%,16%,3%,1%,0%,3.11,ME,https://courses.illinois.edu/schedule/2018/fall/ME/320
Engineering Materials,ME 330,3934,45%,39%,13%,2%,1%,0%,3.24,ME,https://courses.illinois.edu/schedule/2018/fall/ME/330
Dynamics of Mechanical Systems,ME 340,1622,45%,37%,13%,4%,1%,0%,3.2,ME,https://courses.illinois.edu/schedule/2018/fall/ME/340
Signal Processing,ME 360,1578,44%,41%,12%,2%,1%,0%,3.23,ME,https://courses.illinois.edu/schedule/2018/fall/ME/360
Mechanical Design I,ME 370,1654,53%,40%,6%,1%,0%,0%,3.41,ME,https://courses.illinois.edu/schedule/2018/fall/ME/370
Mechanical Design II,ME 371,1574,77%,21%,2%,0%,0%,0%,3.7,ME,https://courses.illinois.edu/schedule/2018/fall/ME/371
Internal Combustion Engines,ME 403,222,59%,38%,4%,0%,0%,0%,3.5,ME,https://courses.illinois.edu/schedule/2018/fall/ME/403
Intermediate Heat Transfer,ME 420,151,76%,21%,3%,0%,0%,0%,3.73,ME,https://courses.illinois.edu/schedule/2018/fall/ME/420
Failure of Engrg Materials,ME 430,296,51%,33%,15%,1%,0%,0%,3.32,ME,https://courses.illinois.edu/schedule/2018/fall/ME/430
Computer-Aided Mfg Systems,ME 451,225,52%,40%,6%,0%,0%,1%,3.47,ME,https://courses.illinois.edu/schedule/2018/fall/ME/451
Computer Cntrl of Mech Systems,ME 461,154,94%,6%,0%,0%,0%,0%,3.93,ME,https://courses.illinois.edu/schedule/2018/fall/ME/461
Senior Design Project,ME 470,1613,80%,18%,2%,0%,0%,0%,3.74,ME,https://courses.illinois.edu/schedule/2018/fall/ME/470
Finite Element Analysis,ME 471,792,56%,26%,12%,2%,3%,1%,3.3,ME,https://courses.illinois.edu/schedule/2018/fall/ME/471
Musculoskel Tissue Mechanics,ME 482,195,64%,32%,3%,0%,1%,0%,3.53,ME,https://courses.illinois.edu/schedule/2018/fall/ME/482
MEMS-NEMS Theory & Fabrication,ME 487,401,53%,38%,7%,2%,0%,0%,3.4,ME,https://courses.illinois.edu/schedule/2018/fall/ME/487
Optics:Theory and Application,ME 498,24,88%,12%,0%,0%,0%,0%,3.82,ME,https://courses.illinois.edu/schedule/2018/fall/ME/498
Nanoscale Energy Transport,ME 523,21,67%,33%,0%,0%,0%,0%,3.68,ME,https://courses.illinois.edu/schedule/2018/fall/ME/523
Materials in Today's World,MSE 101,387,50%,34%,16%,0%,0%,0%,3.29,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/101
Introduction to MatSE,MSE 182,807,50%,44%,5%,0%,1%,0%,3.37,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/182
Phases and Phase Relations,MSE 201,942,44%,40%,11%,2%,2%,0%,3.18,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/201
Materials Laboratory I,MSE 307,694,40%,39%,14%,3%,3%,0%,3.09,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/307
Introduction to Research,MSE 396,138,91%,9%,0%,0%,0%,0%,3.88,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/396
Thermodynamics of Materials,MSE 401,995,35%,33%,23%,5%,4%,1%,2.89,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/401
Synthesis of Materials,MSE 403,266,38%,38%,20%,2%,2%,0%,3.06,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/403
Thermal-Mech Behavior of Matls,MSE 406,885,27%,44%,23%,4%,2%,0%,2.9,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/406
Mechanical Behavior of Metals,MSE 440,277,39%,48%,11%,1%,1%,0%,3.2,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/440
Design of Engineering Alloys,MSE 443,212,49%,41%,8%,1%,1%,0%,3.31,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/443
Mechanics of Composites,MSE 456,289,34%,44%,16%,3%,1%,1%,3.05,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/456
Polymer Chemistry,MSE 457,305,51%,38%,8%,2%,1%,1%,3.35,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/457
Design and Use of Biomaterials,MSE 470,516,65%,32%,2%,0%,0%,0%,3.55,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/470
Surfaces and Colloids,MSE 480,309,60%,28%,9%,2%,0%,1%,3.42,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/480
Atomic Scale Simulations,MSE 485,188,76%,19%,1%,1%,2%,1%,3.62,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/485
Statistical Thermodyn of Matls,MSE 500,432,56%,42%,2%,0%,0%,1%,3.53,MSE,https://courses.illinois.edu/schedule/2018/fall/MSE/500
Theory for Non-Music Majors,MUS 103,78,56%,26%,8%,3%,8%,0%,3.16,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/103
Introd Art Mus: Intl Perspect,MUS 110,626,41%,40%,11%,4%,4%,0%,3.05,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/110
Introd to the Art of Music,MUS 130,3548,57%,29%,9%,3%,2%,1%,3.32,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/130
Introduction to World Music,MUS 133,6006,52%,34%,9%,2%,2%,0%,3.29,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/133
Introductory Music Ed Tech,MUS 243,179,84%,11%,4%,1%,1%,0%,3.7,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/243
Philharmonia Orchestra,MUS 250,392,94%,5%,1%,0%,0%,0%,3.91,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/250
Women's Glee Club,MUS 262,626,96%,3%,0%,0%,1%,0%,3.92,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/262
Men's Glee Club,MUS 263,393,92%,6%,1%,0%,0%,1%,3.9,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/263
Hindsley Symphonic Band,MUS 271,424,96%,2%,1%,0%,0%,0%,3.94,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/271
University Band,MUS 272,181,95%,2%,0%,1%,1%,1%,3.88,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/272
The History of Music I,MUS 313,837,34%,37%,16%,7%,6%,0%,2.85,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/313
Cond/Teach Strings-Grp Setting,MUS 333,72,56%,28%,11%,0%,6%,0%,3.24,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/333
Elem and Mid Sch Instrum Music,MUS 335,132,72%,20%,5%,0%,3%,0%,3.59,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/335
Music in Adolescence,MUS 343,40,80%,15%,2%,0%,2%,0%,3.69,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/343
Choral Mthds Secondary Ensem,MUS 346,65,82%,12%,3%,0%,3%,0%,3.69,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/346
First Half of 20th Century,MUS 408,46,59%,39%,2%,0%,0%,0%,3.52,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/408
Native American Music,MUS 418,21,86%,5%,0%,10%,0%,0%,3.67,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/418
Differentiating Music Instrctn,MUS 439,104,72%,16%,8%,1%,3%,0%,3.53,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/439
Jazz Forum,MUS 499,341,82%,13%,3%,1%,1%,0%,3.69,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/499
Western Music before 1750,MUS 501,152,43%,51%,3%,1%,1%,1%,3.34,MUS,https://courses.illinois.edu/schedule/2018/fall/MUS/501
Orientation to NPRE,NPRE 100,360,85%,8%,3%,0%,4%,0%,3.7,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/100
Energy Systems,NPRE 201,1198,81%,15%,2%,0%,1%,0%,3.65,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/201
Modeling Nuclear Energy System,NPRE 247,471,35%,37%,16%,7%,4%,0%,2.87,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/247
Nuclear Power Econ & Fuel Mgmt,NPRE 412,143,53%,32%,11%,1%,3%,0%,3.27,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/412
Materials in Nuclear Engrg,NPRE 431,210,34%,38%,23%,4%,1%,0%,2.99,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/431
Nuclear Engrg Materials Lab,NPRE 432,202,75%,18%,5%,0%,1%,0%,3.59,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/432
Radiation Interact w/Matter I,NPRE 446,482,75%,16%,7%,0%,1%,0%,3.61,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/446
Nuclear Syst Engrg & Design,NPRE 448,349,28%,36%,21%,10%,5%,0%,2.72,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/448
Writing on Technol & Security,NPRE 481,217,63%,32%,3%,0%,1%,0%,3.55,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/481
Fundamentals of Nuclear Engrg,NPRE 501,73,58%,37%,3%,0%,1%,1%,3.47,NPRE,https://courses.illinois.edu/schedule/2018/fall/NPRE/501
Fundamentals of Env Sci,NRES 100,1016,56%,33%,7%,2%,1%,0%,3.4,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/100
Introduction to NRES,NRES 102,7609,51%,34%,10%,2%,2%,0%,3.27,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/102
Introductory Soils,NRES 201,1362,23%,47%,22%,6%,1%,0%,2.85,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/201
Principles of Ecosystem Mgmt,NRES 219,716,42%,41%,11%,3%,3%,0%,3.14,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/219
Fish and Wildlife Ecology,NRES 348,807,52%,38%,9%,1%,1%,0%,3.35,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/348
Fishery Ecol and Conservation,NRES 409,49,37%,53%,6%,4%,0%,0%,3.13,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/409
Native Plant ID and Floristics,NRES 415,49,39%,45%,10%,4%,2%,0%,3.12,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/415
Env and Plant Ecosystems,NRES 419,240,50%,38%,7%,1%,3%,0%,3.26,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/419
GIS in Natural Resource Mgmt,NRES 454,709,42%,43%,11%,2%,2%,0%,3.18,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/454
Environmental Psychology,NRES 472,151,71%,21%,5%,1%,3%,1%,3.54,NRES,https://courses.illinois.edu/schedule/2018/fall/NRES/472
Introduction to Philosophy,PHIL 101,3282,36%,46%,12%,3%,3%,0%,3.06,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/101
Logic and Reasoning,PHIL 102,3228,47%,34%,12%,4%,3%,1%,3.16,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/102
Logic and Reasoning QR II,PHIL 103,606,52%,24%,13%,5%,5%,0%,3.09,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/103
Symbolic Logic,PHIL 202,461,48%,25%,15%,6%,5%,1%,3.04,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/202
Ancient Philosophy,PHIL 203,1080,40%,42%,11%,3%,3%,1%,3.07,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/203
Early Modern Philosophy,PHIL 206,957,38%,47%,9%,4%,2%,0%,3.13,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/206
Ethics,PHIL 210,150,59%,33%,7%,1%,1%,0%,3.45,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/210
Biomedical Ethics,PHIL 214,425,46%,44%,7%,0%,2%,0%,3.32,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/214
Conceptions of Human Nature,PHIL 250,184,51%,39%,4%,1%,5%,1%,3.23,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/250
Philosophy of Science,PHIL 270,76,32%,39%,18%,4%,7%,0%,2.86,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/270
Metaphysics,PHIL 426,53,57%,32%,8%,0%,4%,0%,3.32,PHIL,https://courses.illinois.edu/schedule/2018/fall/PHIL/426
Thinking About Physics,PHYS 100,4187,38%,49%,10%,2%,0%,0%,3.23,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/100
College Physics: Mech & Heat,PHYS 101,6872,31%,26%,26%,14%,2%,1%,2.68,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/101
College Physics: E&M & Modern,PHYS 102,4819,31%,32%,26%,10%,1%,1%,2.79,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/102
Physics of Societal Issues,PHYS 150,325,40%,38%,17%,3%,1%,1%,3.12,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/150
University Physics: Mechanics,PHYS 211,15826,42%,25%,20%,10%,2%,1%,2.93,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/211
University Physics: Elec & Mag,PHYS 212,15595,33%,28%,24%,13%,2%,1%,2.76,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/212
Univ Physics: Thermal Physics,PHYS 213,9543,30%,30%,26%,11%,3%,0%,2.71,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/213
Univ Physics: Quantum Physics,PHYS 214,9784,30%,32%,26%,10%,2%,1%,2.77,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/214
Relativity & Math Applications,PHYS 225,1628,39%,34%,18%,6%,2%,1%,3.02,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/225
Fresh/Soph Special Topics Phys,PHYS 298,61,80%,15%,2%,2%,0%,2%,3.73,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/298
Classical Mechanics I,PHYS 325,1512,38%,35%,17%,7%,2%,1%,2.99,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/325
Classical Mechanics II,PHYS 326,790,45%,29%,16%,7%,2%,1%,3.07,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/326
Classical Physics Lab,PHYS 401,534,56%,28%,9%,1%,5%,1%,3.26,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/401
Light,PHYS 402,157,62%,30%,6%,1%,1%,1%,3.45,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/402
"Space, Time, and Matter-ACP",PHYS 419,333,43%,39%,6%,2%,8%,2%,3.05,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/419
Thermal & Statistical Physics,PHYS 427,817,41%,37%,16%,4%,1%,1%,3.11,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/427
Electromagnetic Fields I,PHYS 435,1166,39%,39%,15%,5%,2%,1%,3.09,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/435
Electromagnetic Fields II,PHYS 436,733,52%,33%,12%,2%,1%,0%,3.32,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/436
Condensed Matter Physics,PHYS 460,399,55%,33%,8%,3%,1%,1%,3.39,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/460
Introduction to Biophysics,PHYS 475,238,60%,28%,10%,2%,0%,0%,3.46,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/475
Atomic Phys & Quantum Theory,PHYS 485,284,45%,35%,15%,3%,1%,1%,3.18,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/485
Quantum Physics I,PHYS 486,1146,41%,34%,17%,5%,1%,1%,3.07,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/486
Quantum Physics II,PHYS 487,684,54%,31%,11%,3%,1%,1%,3.28,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/487
Mathematical Physics I,PHYS 508,282,52%,33%,15%,0%,0%,1%,3.3,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/508
General Relativity I,PHYS 515,95,69%,28%,1%,0%,0%,1%,3.59,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/515
Quantum Mechanics I,PHYS 580,394,65%,33%,2%,0%,0%,0%,3.6,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/580
General Field Theory,PHYS 582,217,75%,19%,4%,0%,0%,1%,3.66,PHYS,https://courses.illinois.edu/schedule/2018/fall/PHYS/582
"Plants, Pathogens, and People",PLPA 200,1346,51%,35%,10%,2%,2%,0%,3.32,PLPA,https://courses.illinois.edu/schedule/2018/fall/PLPA/200
Diseases of Field Crops,PLPA 407,291,45%,30%,18%,6%,0%,0%,3.14,PLPA,https://courses.illinois.edu/schedule/2018/fall/PLPA/407
Intro to Political Science,PS 100,3050,38%,42%,15%,3%,2%,0%,3.08,PS,https://courses.illinois.edu/schedule/2018/fall/PS/100
Intro to US Gov & Pol,PS 101,3523,32%,39%,19%,5%,4%,1%,2.88,PS,https://courses.illinois.edu/schedule/2018/fall/PS/101
The New Middle East,PS 152,290,50%,29%,15%,3%,3%,0%,3.15,PS,https://courses.illinois.edu/schedule/2018/fall/PS/152
Drones and Asymmetric Warfare,PS 199,70,53%,34%,7%,0%,3%,3%,3.32,PS,https://courses.illinois.edu/schedule/2018/fall/PS/199
Intro to Public Policy,PS 220,1309,27%,44%,21%,6%,2%,0%,2.88,PS,https://courses.illinois.edu/schedule/2018/fall/PS/220
Environmental Politics&Policy,PS 225,75,28%,39%,17%,9%,5%,1%,2.81,PS,https://courses.illinois.edu/schedule/2018/fall/PS/225
Intro to Pol Research,PS 230,312,55%,28%,7%,3%,6%,1%,3.2,PS,https://courses.illinois.edu/schedule/2018/fall/PS/230
Intro to Comp Politics,PS 240,1888,53%,35%,8%,2%,2%,0%,3.32,PS,https://courses.illinois.edu/schedule/2018/fall/PS/240
Comp Politics in Dev Nations,PS 241,1098,39%,40%,14%,3%,3%,1%,3.05,PS,https://courses.illinois.edu/schedule/2018/fall/PS/241
Intro to Political Theory,PS 270,741,23%,54%,18%,1%,2%,1%,2.96,PS,https://courses.illinois.edu/schedule/2018/fall/PS/270
Intro to Intl Relations,PS 280,3474,34%,42%,17%,4%,3%,1%,2.97,PS,https://courses.illinois.edu/schedule/2018/fall/PS/280
Terrorism,PS 300,334,63%,24%,9%,1%,3%,1%,3.39,PS,https://courses.illinois.edu/schedule/2018/fall/PS/300
The US Constitution I,PS 301,643,52%,33%,10%,2%,2%,1%,3.31,PS,https://courses.illinois.edu/schedule/2018/fall/PS/301
Politics and the Media,PS 312,371,19%,37%,32%,9%,2%,1%,2.61,PS,https://courses.illinois.edu/schedule/2018/fall/PS/312
Law and Representation,PS 323,143,32%,41%,23%,3%,1%,0%,2.97,PS,https://courses.illinois.edu/schedule/2018/fall/PS/323
Gov & Pol in Western Europe,PS 348,654,62%,27%,8%,2%,2%,0%,3.41,PS,https://courses.illinois.edu/schedule/2018/fall/PS/348
Politics of the European Union,PS 385,258,53%,30%,12%,2%,3%,0%,3.26,PS,https://courses.illinois.edu/schedule/2018/fall/PS/385
PSM Industry Seminar I,PSM 501,80,94%,2%,4%,0%,0%,0%,3.89,PSM,https://courses.illinois.edu/schedule/2018/fall/PSM/501
Intro Psych,PSYC 100,20537,29%,43%,21%,5%,3%,0%,2.9,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/100
Intro Experimental Psych,PSYC 103,406,29%,37%,28%,2%,3%,0%,2.86,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/103
Psych Introduction,PSYC 105,114,66%,23%,9%,3%,0%,0%,3.52,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/105
Intro to Social Psych,PSYC 201,7196,54%,30%,11%,3%,2%,0%,3.32,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/201
Intro to Brain and Cognition,PSYC 204,763,53%,26%,15%,4%,2%,1%,3.22,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/204
Behavioral Neuroscience,PSYC 210,1892,26%,35%,23%,11%,4%,1%,2.68,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/210
Child Psych,PSYC 216,4137,40%,33%,17%,6%,2%,1%,3.04,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/216
Cognitive Psych,PSYC 224,2647,35%,34%,20%,7%,3%,1%,2.9,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/224
Perception & Sensory Processes,PSYC 230,2443,52%,27%,13%,4%,3%,0%,3.2,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/230
Intro to Statistics,PSYC 235,759,47%,28%,13%,5%,6%,1%,3.07,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/235
Psychopathol & Probs in Living,PSYC 238,343,62%,31%,6%,0%,1%,0%,3.51,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/238
Community Psych,PSYC 239,1122,62%,27%,8%,2%,2%,0%,3.41,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/239
Industrial Org Psych,PSYC 245,2053,51%,29%,12%,4%,3%,1%,3.21,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/245
Learning and Memory,PSYC 248,2621,37%,38%,20%,4%,1%,0%,3.06,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/248
Psych of Personality,PSYC 250,2435,40%,37%,17%,4%,2%,0%,3.1,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/250
Psychology of Race & Ethnicity,PSYC 312,903,24%,60%,13%,2%,1%,0%,3.06,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/312
Developmental Psychopathology,PSYC 324,852,30%,40%,21%,7%,1%,0%,2.9,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/324
Social Psych in Society Lab,PSYC 333,342,42%,41%,15%,1%,2%,0%,3.14,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/333
Depression and Mood Disorders,PSYC 336,37,68%,24%,3%,3%,3%,0%,3.48,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/336
Alcohol and Alcoholism,PSYC 336,124,56%,33%,7%,2%,2%,1%,3.41,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/336
Stress and Health,PSYC 336,35,66%,23%,9%,3%,0%,0%,3.51,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/336
Stress&Resilency in Childhood,PSYC 336,66,52%,36%,12%,0%,0%,0%,3.37,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/336
CounselCenterParaProfessional,PSYC 340,22,91%,9%,0%,0%,0%,0%,3.85,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/340
Personality Lab,PSYC 350,546,71%,20%,5%,1%,2%,0%,3.57,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/350
Social Cognition,PSYC 353,1636,46%,30%,20%,2%,2%,0%,3.17,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/353
Intro Cognitive Science,PSYC 357,173,24%,39%,20%,6%,8%,2%,2.68,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/357
Developmental Child Psych Lab,PSYC 363,329,75%,18%,4%,2%,1%,0%,3.63,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/363
The Psychology of Politics,PSYC 396,28,68%,29%,4%,0%,0%,0%,3.67,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/396
Psychology of Morality,PSYC 396,62,35%,50%,11%,0%,2%,2%,3.23,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/396
Memory and Amnesia,PSYC 403,1769,63%,26%,8%,2%,1%,0%,3.5,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/403
"Brain, Learning, and Memory",PSYC 414,894,43%,34%,15%,4%,3%,1%,3.14,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/414
Neurosci of Eating & Drinking,PSYC 417,104,74%,15%,8%,2%,1%,0%,3.55,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/417
Evolutionary Neuroscience,PSYC 433,360,47%,30%,15%,5%,4%,0%,3.09,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/433
Cognitive Psychophysiology,PSYC 450,159,75%,14%,4%,4%,3%,0%,3.56,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/450
Personality and Soc Dev,PSYC 465,1113,43%,38%,15%,4%,0%,0%,3.21,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/465
Psych and Law,PSYC 468,193,45%,34%,18%,3%,1%,0%,3.17,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/468
Personnel Psych,PSYC 475,411,52%,36%,10%,2%,0%,0%,3.37,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/475
Measurement & Test Develop Lab,PSYC 490,42,90%,10%,0%,0%,0%,0%,3.93,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/490
Statistical Methods I,PSYC 506,372,82%,15%,2%,0%,0%,0%,3.78,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/506
Seminar in Cognitive Science,PSYC 514,77,71%,23%,1%,0%,3%,1%,3.59,PSYC,https://courses.illinois.edu/schedule/2018/fall/PSYC/514
Disability in American Society,REHB 330,1549,69%,27%,3%,1%,1%,0%,3.6,REHB,https://courses.illinois.edu/schedule/2018/fall/REHB/330
Medical Aspects of Disability,REHB 402,367,56%,34%,8%,1%,1%,1%,3.42,REHB,https://courses.illinois.edu/schedule/2018/fall/REHB/402
Bible as Literature,REL 101,436,31%,41%,17%,6%,3%,1%,2.9,REL,https://courses.illinois.edu/schedule/2018/fall/REL/101
Religion & Society in West I,REL 108,917,87%,7%,2%,1%,2%,0%,3.73,REL,https://courses.illinois.edu/schedule/2018/fall/REL/108
World Religions,REL 110,7427,43%,41%,12%,2%,1%,0%,3.2,REL,https://courses.illinois.edu/schedule/2018/fall/REL/110
Introduction to Islam,REL 214,354,48%,38%,8%,3%,2%,1%,3.24,REL,https://courses.illinois.edu/schedule/2018/fall/REL/214
Adv Rhetoric & Composition,RHET 233,393,61%,33%,3%,1%,2%,0%,3.44,RHET,https://courses.illinois.edu/schedule/2018/fall/RHET/233
RST in Modern Society,RST 100,1470,43%,38%,12%,3%,2%,1%,3.16,RST,https://courses.illinois.edu/schedule/2018/fall/RST/100
Orientation to RST,RST 101,429,69%,16%,7%,3%,4%,1%,3.45,RST,https://courses.illinois.edu/schedule/2018/fall/RST/101
Foundations of Sport Mgt,RST 130,1512,37%,44%,13%,4%,2%,1%,3.07,RST,https://courses.illinois.edu/schedule/2018/fall/RST/130
Management in RST,RST 199,159,60%,30%,5%,3%,3%,0%,3.38,RST,https://courses.illinois.edu/schedule/2018/fall/RST/199
Finance Resource Mangement in,RST 199,46,26%,52%,15%,7%,0%,0%,2.96,RST,https://courses.illinois.edu/schedule/2018/fall/RST/199
CHAMP Student Athlete Seminar,RST 199,218,88%,7%,4%,0%,0%,0%,3.82,RST,https://courses.illinois.edu/schedule/2018/fall/RST/199
Disability in RST,RST 199,736,73%,18%,5%,1%,3%,0%,3.55,RST,https://courses.illinois.edu/schedule/2018/fall/RST/199
Coaching Wheelchair Basketball,RST 199,259,76%,18%,4%,1%,0%,0%,3.64,RST,https://courses.illinois.edu/schedule/2018/fall/RST/199
Leadership in RST,RST 200,597,60%,29%,8%,2%,1%,0%,3.46,RST,https://courses.illinois.edu/schedule/2018/fall/RST/200
